month,totals
1999-01-01,56953
1999-02-01,57471
1999-03-01,68327
1999-04-01,62654
1999-05-01,61497
1999-06-01,65298
1999-07-01,65646
1999-08-01,70183
1999-09-01,70519
1999-10-01,77927
1999-11-01,90391
1999-12-01,136278
2000-01-01,57800
2000-02-01,58905
2000-03-01,64895
2000-04-01,65796
2000-05-01,62909
2000-06-01,64614
2000-07-01,60311
2000-08-01,63724
2000-09-01,59837
2000-10-01,62588
2000-11-01,74834
2000-12-01,98293
2001-01-01,60935
2001-02-01,58904
2001-03-01,65127
2001-04-01,77120
2001-05-01,76603
2001-06-01,66811
2001-07-01,63395
2001-08-01,71416
2001-09-01,72914
2001-10-01,76958
2001-11-01,78910
2001-12-01,85476
2002-01-01,58768
2002-02-01,56796
2002-03-01,58116
2002-04-01,55856
2002-05-01,58303
2002-06-01,51886
2002-07-01,54488
2002-08-01,56621
2002-09-01,52881
2002-10-01,52756
2002-11-01,54868
2002-12-01,73051
2003-01-01,39285
2003-02-01,41724
2003-03-01,48429
2003-04-01,45508
2003-05-01,43667
2003-06-01,42438
2003-07-01,40846
2003-08-01,45078
2003-09-01,42763
2003-10-01,43376
2003-11-01,41693
2003-12-01,49624
2004-01-01,43460
2004-02-01,40636
2004-03-01,44793
2004-04-01,43369
2004-05-01,42434
2004-06-01,46403
2004-07-01,43563
2004-08-01,46906
2004-09-01,45463
2004-10-01,45571
2004-11-01,45685
2004-12-01,60560
2005-01-01,44278
2005-02-01,46095
2005-03-01,51971
2005-04-01,49679
2005-05-01,48571
2005-06-01,47509
2005-07-01,47223
2005-08-01,52317
2005-09-01,54442
2005-10-01,51604
2005-11-01,54120
2005-12-01,63213
2006-01-01,56793
2006-02-01,56086
2006-03-01,65610
2006-04-01,57810
2006-05-01,46154
2006-06-01,43634
2006-07-01,43014
2006-08-01,51245
2006-09-01,45311
2006-10-01,45861
2006-11-01,48401
2006-12-01,57901
2007-01-01,62459
2007-02-01,62560
2007-03-01,75306
2007-04-01,67801
2007-05-01,86930
2007-06-01,83523
2007-07-01,71837
2007-08-01,69084
2007-09-01,80429
2007-10-01,69809
2007-11-01,63910
2007-12-01,62295
2008-01-01,58872
2008-02-01,59380
2008-03-01,74599
2008-04-01,66612
2008-05-01,64811
2008-06-01,57322
2008-07-01,62382
2008-08-01,63942
2008-09-01,56404
2008-10-01,65372
2008-11-01,73190
2008-12-01,77512
2009-01-01,72039
2009-02-01,62736
2009-03-01,72248
2009-04-01,73315
2009-05-01,64304
2009-06-01,63190
2009-07-01,61389
2009-08-01,65927
2009-09-01,62920
2009-10-01,64468
2009-11-01,56392
2009-12-01,69236
2010-01-01,63048
2010-02-01,64271
2010-03-01,74011
2010-04-01,80750
2010-05-01,69344
2010-06-01,61889
2010-07-01,62682
2010-08-01,65506
2010-09-01,60530
2010-10-01,68851
2010-11-01,63995
2010-12-01,81522
2011-01-01,68984
2011-02-01,67480
2011-03-01,84183
2011-04-01,87052
2011-05-01,66457
2011-06-01,75317
2011-07-01,62387
2011-08-01,76162
2011-09-01,70043
2011-10-01,83926
2011-11-01,74118
2011-12-01,89592
2012-01-01,75418
2012-02-01,89188
2012-03-01,107573
2012-04-01,90368
2012-05-01,83820
2012-06-01,85384
2012-07-01,80683
2012-08-01,87291
2012-09-01,79077
2012-10-01,89164
2012-11-01,113832
2012-12-01,150805
2013-01-01,133187
2013-02-01,108666
2013-03-01,117106
2013-04-01,110149
2013-05-01,112464
2013-06-01,109153
2013-07-01,100114
2013-08-01,111132
2013-09-01,104067
2013-10-01,114595
2013-11-01,109140
2013-12-01,138522
2014-01-01,100054
2014-02-01,111341
2014-03-01,137660
2014-04-01,134448
2014-05-01,120661
2014-06-01,102639
2014-07-01,104309
2014-08-01,119570
2014-09-01,118856
2014-10-01,128439
2014-11-01,132469
2014-12-01,164170
2015-01-01,113292
2015-02-01,113789
2015-03-01,199833
2015-04-01,114686
2015-05-01,119574
2015-06-01,112704
2015-07-01,140365
2015-08-01,125122
2015-09-01,125441
2015-10-01,163211
2015-11-01,180116
2015-12-01,252946
2016-01-01,220912
2016-02-01,214844
2016-03-01,201041
2016-04-01,171256
2016-05-01,166035
2016-06-01,173846
2016-07-01,190218
2016-08-01,176770
2016-09-01,159077
2016-10-01,180968
2016-11-01,224039
2016-12-01,298161
2017-01-01,130365
2017-02-01,129885
2017-03-01,146592
2017-04-01,132190
2017-05-01,129307
2017-06-01,130187
2017-07-01,114595
2017-08-01,130901
2017-09-01,123506
