month,totals
1999-01-01,32267
1999-02-01,39417
1999-03-01,51500
1999-04-01,43248
1999-05-01,36831
1999-06-01,34503
1999-07-01,35319
1999-08-01,43037
1999-09-01,45129
1999-10-01,56297
1999-11-01,66033
1999-12-01,57974
2000-01-01,35120
2000-02-01,37931
2000-03-01,48600
2000-04-01,39189
2000-05-01,32796
2000-06-01,31442
2000-07-01,31171
2000-08-01,34999
2000-09-01,41872
2000-10-01,48477
2000-11-01,54089
2000-12-01,45608
2001-01-01,34202
2001-02-01,36228
2001-03-01,44975
2001-04-01,36360
2001-05-01,30679
2001-06-01,29275
2001-07-01,28635
2001-08-01,35334
2001-09-01,49455
2001-10-01,63468
2001-11-01,63805
2001-12-01,57465
2002-01-01,42920
2002-02-01,44417
2002-03-01,54478
2002-04-01,46684
2002-05-01,40223
2002-06-01,36303
2002-07-01,38259
2002-08-01,44403
2002-09-01,47875
2002-10-01,58871
2002-11-01,62360
2002-12-01,50909
2003-01-01,39610
2003-02-01,40231
2003-03-01,52909
2003-04-01,42563
2003-05-01,37419
2003-06-01,32905
2003-07-01,32286
2003-08-01,38578
2003-09-01,43833
2003-10-01,51311
2003-11-01,55272
2003-12-01,48979
2004-01-01,38117
2004-02-01,40847
2004-03-01,50690
2004-04-01,41282
2004-05-01,32281
2004-06-01,32506
2004-07-01,34235
2004-08-01,36989
2004-09-01,41867
2004-10-01,49783
2004-11-01,54967
2004-12-01,51249
2005-01-01,34236
2005-02-01,39452
2005-03-01,48806
2005-04-01,40417
2005-05-01,32401
2005-06-01,31555
2005-07-01,32467
2005-08-01,35736
2005-09-01,41556
2005-10-01,44662
2005-11-01,51365
2005-12-01,50324
2006-01-01,39264
2006-02-01,41779
2006-03-01,50469
2006-04-01,39155
2006-05-01,34441
2006-06-01,33260
2006-07-01,31458
2006-08-01,38133
2006-09-01,46540
2006-10-01,49449
2006-11-01,56941
2006-12-01,59565
2007-01-01,45570
2007-02-01,43391
2007-03-01,55043
2007-04-01,45337
2007-05-01,38977
2007-06-01,40403
2007-07-01,38988
2007-08-01,47292
2007-09-01,45849
2007-10-01,52339
2007-11-01,55819
2007-12-01,53595
2008-01-01,44755
2008-02-01,46646
2008-03-01,56009
2008-04-01,45947
2008-05-01,40630
2008-06-01,36218
2008-07-01,38271
2008-08-01,41911
2008-09-01,46220
2008-10-01,55218
2008-11-01,78828
2008-12-01,67891
2009-01-01,54695
2009-02-01,57544
2009-03-01,69675
2009-04-01,59806
2009-05-01,45804
2009-06-01,43428
2009-07-01,42862
2009-08-01,44917
2009-09-01,50424
2009-10-01,56079
2009-11-01,60101
2009-12-01,56361
2010-01-01,47456
2010-02-01,47352
2010-03-01,65871
2010-04-01,50249
2010-05-01,41779
2010-06-01,43153
2010-07-01,43054
2010-08-01,47362
2010-09-01,52002
2010-10-01,57446
2010-11-01,67443
2010-12-01,63510
2011-01-01,49123
2011-02-01,60141
2011-03-01,72258
2011-04-01,62023
2011-05-01,48401
2011-06-01,46403
2011-07-01,45686
2011-08-01,54953
2011-09-01,58671
2011-10-01,63135
2011-11-01,73684
2011-12-01,84456
2012-01-01,66682
2012-02-01,89424
2012-03-01,93005
2012-04-01,71690
2012-05-01,62343
2012-06-01,60533
2012-07-01,64227
2012-08-01,75174
2012-09-01,72565
2012-10-01,79821
2012-11-01,99829
2012-12-01,133241
2013-01-01,135603
2013-02-01,113841
2013-03-01,114209
2013-04-01,90995
2013-05-01,70882
2013-06-01,61992
2013-07-01,60876
2013-08-01,70687
2013-09-01,70015
2013-10-01,79205
2013-11-01,88985
2013-12-01,87441
2014-01-01,69963
2014-02-01,76916
2014-03-01,93402
2014-04-01,74553
2014-05-01,63261
2014-06-01,56296
2014-07-01,59582
2014-08-01,67743
2014-09-01,71450
2014-10-01,83119
2014-11-01,87572
2014-12-01,95384
2015-01-01,73321
2015-02-01,81379
2015-03-01,92329
2015-04-01,74820
2015-05-01,62676
2015-06-01,64122
2015-07-01,65250
2015-08-01,69162
2015-09-01,70156
2015-10-01,82552
2015-11-01,103836
2015-12-01,153826
2016-01-01,102170
2016-02-01,104116
2016-03-01,105145
2016-04-01,88140
2016-05-01,70244
2016-06-01,80806
2016-07-01,86137
2016-08-01,86652
2016-09-01,86424
2016-10-01,103095
2016-11-01,118378
2016-12-01,111913
2017-01-01,85948
2017-02-01,95585
2017-03-01,110334
2017-04-01,85908
2017-05-01,79725
2017-06-01,76201
2017-07-01,73654
2017-08-01,79020
2017-09-01,77003
