month,totals
1999-01-01,50992
1999-02-01,55148
1999-03-01,54096
1999-04-01,45727
1999-05-01,44247
1999-06-01,46105
1999-07-01,50160
1999-08-01,57184
1999-09-01,65731
1999-10-01,68080
1999-11-01,70540
1999-12-01,102015
2000-01-01,48626
2000-02-01,52861
2000-03-01,51666
2000-04-01,42204
2000-05-01,41947
2000-06-01,42043
2000-07-01,45518
2000-08-01,59994
2000-09-01,65110
2000-10-01,62872
2000-11-01,66996
2000-12-01,83133
2001-01-01,51492
2001-02-01,51017
2001-03-01,52984
2001-04-01,38409
2001-05-01,40931
2001-06-01,39412
2001-07-01,40143
2001-08-01,61054
2001-09-01,69653
2001-10-01,72476
2001-11-01,68854
2001-12-01,86321
2002-01-01,50321
2002-02-01,51634
2002-03-01,49178
2002-04-01,42304
2002-05-01,42561
2002-06-01,40367
2002-07-01,42810
2002-08-01,62213
2002-09-01,63116
2002-10-01,66213
2002-11-01,69561
2002-12-01,84467
2003-01-01,54023
2003-02-01,59258
2003-03-01,56761
2003-04-01,44287
2003-05-01,43876
2003-06-01,42514
2003-07-01,45602
2003-08-01,64983
2003-09-01,63737
2003-10-01,65970
2003-11-01,60660
2003-12-01,86604
2004-01-01,56561
2004-02-01,55899
2004-03-01,50057
2004-04-01,46175
2004-05-01,41897
2004-06-01,41498
2004-07-01,44473
2004-08-01,57014
2004-09-01,64339
2004-10-01,61431
2004-11-01,63937
2004-12-01,89714
2005-01-01,55465
2005-02-01,57945
2005-03-01,54254
2005-04-01,47732
2005-05-01,46125
2005-06-01,46327
2005-07-01,48647
2005-08-01,62684
2005-09-01,68955
2005-10-01,70654
2005-11-01,74176
2005-12-01,105829
2006-01-01,64220
2006-02-01,63683
2006-03-01,56992
2006-04-01,49767
2006-05-01,49790
2006-06-01,51519
2006-07-01,52276
2006-08-01,65069
2006-09-01,71198
2006-10-01,67245
2006-11-01,73251
2006-12-01,105226
2007-01-01,59667
2007-02-01,66035
2007-03-01,62956
2007-04-01,55648
2007-05-01,54111
2007-06-01,51525
2007-07-01,54030
2007-08-01,71566
2007-09-01,66240
2007-10-01,66672
2007-11-01,72670
2007-12-01,102476
2008-01-01,66797
2008-02-01,72001
2008-03-01,63667
2008-04-01,59527
2008-05-01,61039
2008-06-01,59239
2008-07-01,56777
2008-08-01,73208
2008-09-01,71992
2008-10-01,92043
2008-11-01,132359
2008-12-01,135919
2009-01-01,86835
2009-02-01,96192
2009-03-01,102372
2009-04-01,76844
2009-05-01,71891
2009-06-01,69421
2009-07-01,66285
2009-08-01,80589
2009-09-01,74929
2009-10-01,78429
2009-11-01,95339
2009-12-01,114889
2010-01-01,73787
2010-02-01,87849
2010-03-01,77795
2010-04-01,65012
2010-05-01,61789
2010-06-01,60337
2010-07-01,67262
2010-08-01,81327
2010-09-01,78300
2010-10-01,91997
2010-11-01,95755
2010-12-01,126861
2011-01-01,85642
2011-02-01,98234
2011-03-01,97274
2011-04-01,87448
2011-05-01,81733
2011-06-01,79768
2011-07-01,77160
2011-08-01,88889
2011-09-01,95830
2011-10-01,96869
2011-11-01,112058
2011-12-01,154482
2012-01-01,96394
2012-02-01,130571
2012-03-01,122295
2012-04-01,88867
2012-05-01,88027
2012-06-01,89057
2012-07-01,93179
2012-08-01,117318
2012-09-01,108117
2012-10-01,112530
2012-11-01,149821
2012-12-01,239956
2013-01-01,186890
2013-02-01,189806
2013-03-01,163594
2013-04-01,131815
2013-05-01,111668
2013-06-01,97420
2013-07-01,100819
2013-08-01,115380
2013-09-01,111067
2013-10-01,124834
2013-11-01,133911
2013-12-01,166074
2014-01-01,130524
2014-02-01,147793
2014-03-01,130310
2014-04-01,101103
2014-05-01,97814
2014-06-01,91133
2014-07-01,94876
2014-08-01,115497
2014-09-01,114900
2014-10-01,122547
2014-11-01,138837
2014-12-01,180658
2015-01-01,115315
2015-02-01,140229
2015-03-01,129368
2015-04-01,106032
2015-05-01,111012
2015-06-01,106461
2015-07-01,106013
2015-08-01,122233
2015-09-01,122503
2015-10-01,126327
2015-11-01,146982
2015-12-01,241791
2016-01-01,164088
2016-02-01,192417
2016-03-01,152465
2016-04-01,126292
2016-05-01,104134
2016-06-01,120263
2016-07-01,127207
2016-08-01,124608
2016-09-01,126694
2016-10-01,144467
2016-11-01,157519
2016-12-01,181572
2017-01-01,117903
2017-02-01,137470
2017-03-01,144270
2017-04-01,109961
2017-05-01,109732
2017-06-01,118091
2017-07-01,98338
2017-08-01,110946
2017-09-01,128260
