month,totals
1999-01-01,585569
1999-02-01,689867
1999-03-01,741234
1999-04-01,638299
1999-05-01,568781
1999-06-01,564521
1999-07-01,579263
1999-08-01,694469
1999-09-01,798738
1999-10-01,934384
1999-11-01,995378
1999-12-01,1247812
2000-01-01,628579
2000-02-01,695878
2000-03-01,725088
2000-04-01,606212
2000-05-01,526074
2000-06-01,539560
2000-07-01,533493
2000-08-01,675825
2000-09-01,773629
2000-10-01,835879
2000-11-01,888128
2000-12-01,993141
2001-01-01,633466
2001-02-01,665891
2001-03-01,719949
2001-04-01,583322
2001-05-01,531878
2001-06-01,533806
2001-07-01,531675
2001-08-01,703022
2001-09-01,857061
2001-10-01,1022315
2001-11-01,975451
2001-12-01,1054621
2002-01-01,655447
2002-02-01,686331
2002-03-01,707278
2002-04-01,619059
2002-05-01,556826
2002-06-01,506575
2002-07-01,529471
2002-08-01,687938
2002-09-01,717444
2002-10-01,842102
2002-11-01,880871
2002-12-01,969232
2003-01-01,646202
2003-02-01,703325
2003-03-01,729507
2003-04-01,614241
2003-05-01,560106
2003-06-01,523190
2003-07-01,524441
2003-08-01,676620
2003-09-01,730616
2003-10-01,847615
2003-11-01,835812
2003-12-01,1002267
2004-01-01,685059
2004-02-01,715230
2004-03-01,728890
2004-04-01,628686
2004-05-01,529241
2004-06-01,537353
2004-07-01,552303
2004-08-01,658273
2004-09-01,732365
2004-10-01,857022
2004-11-01,883158
2004-12-01,1064146
2005-01-01,677992
2005-02-01,734334
2005-03-01,757006
2005-04-01,646646
2005-05-01,546288
2005-06-01,547826
2005-07-01,554948
2005-08-01,678571
2005-09-01,785313
2005-10-01,847094
2005-11-01,921002
2005-12-01,1160579
2006-01-01,767220
2006-02-01,814560
2006-03-01,836459
2006-04-01,692574
2006-05-01,621756
2006-06-01,612744
2006-07-01,628943
2006-08-01,829597
2006-09-01,916242
2006-10-01,968137
2006-11-01,1042638
2006-12-01,1251885
2007-01-01,892595
2007-02-01,912791
2007-03-01,973072
2007-04-01,837937
2007-05-01,800702
2007-06-01,791076
2007-07-01,755759
2007-08-01,915176
2007-09-01,942779
2007-10-01,1022967
2007-11-01,1078335
2007-12-01,1228809
2008-01-01,940265
2008-02-01,1019190
2008-03-01,1039060
2008-04-01,938134
2008-05-01,884577
2008-06-01,817800
2008-07-01,888974
2008-08-01,954908
2008-09-01,970748
2008-10-01,1181383
2008-11-01,1527621
2008-12-01,1521580
2009-01-01,1211967
2009-02-01,1256515
2009-03-01,1341386
2009-04-01,1221082
2009-05-01,1018465
2009-06-01,963165
2009-07-01,962684
2009-08-01,1069981
2009-09-01,1086755
2009-10-01,1225664
2009-11-01,1216451
2009-12-01,1400208
2010-01-01,1111556
2010-02-01,1236788
2010-03-01,1290685
2010-04-01,1225887
2010-05-01,1009046
2010-06-01,997406
2010-07-01,1061881
2010-08-01,1081394
2010-09-01,1138946
2010-10-01,1359117
2010-11-01,1285969
2010-12-01,1511251
2011-01-01,1311602
2011-02-01,1462200
2011-03-01,1436532
2011-04-01,1338681
2011-05-01,1218736
2011-06-01,1156522
2011-07-01,1146395
2011-08-01,1299306
2011-09-01,1243378
2011-10-01,1330527
2011-11-01,1526192
2011-12-01,1852968
2012-01-01,1367727
2012-02-01,1733151
2012-03-01,1713535
2012-04-01,1414779
2012-05-01,1303972
2012-06-01,1288813
2012-07-01,1288246
2012-08-01,1513166
2012-09-01,1449446
2012-10-01,1603244
2012-11-01,1996284
2012-12-01,2774141
2013-01-01,2481655
2013-02-01,2297138
2013-03-01,2195478
2013-04-01,1700895
2013-05-01,1422646
2013-06-01,1268996
2013-07-01,1269998
2013-08-01,1406664
2013-09-01,1390725
2013-10-01,1677346
2013-11-01,1804042
2013-12-01,2031178
2014-01-01,1648809
2014-02-01,2072297
2014-03-01,2474818
2014-04-01,1732080
2014-05-01,1474649
2014-06-01,1373673
2014-07-01,1392246
2014-08-01,1536615
2014-09-01,1445826
2014-10-01,1594143
2014-11-01,1795493
2014-12-01,2299619
2015-01-01,1761703
2015-02-01,1846708
2015-03-01,1999541
2015-04-01,1696255
2015-05-01,1569096
2015-06-01,1517014
2015-07-01,1587710
2015-08-01,1734239
2015-09-01,1785086
2015-10-01,1967570
2015-11-01,2234871
2015-12-01,3306435
2016-01-01,2538652
2016-02-01,2603227
2016-03-01,2507513
2016-04-01,2134410
2016-05-01,1859080
2016-06-01,2121693
2016-07-01,2185520
2016-08-01,1835093
2016-09-01,1981896
2016-10-01,2324740
2016-11-01,2552584
2016-12-01,2761141
2017-01-01,2030400
2017-02-01,2222804
2017-03-01,2420835
2017-04-01,2035418
2017-05-01,1896910
2017-06-01,1886240
2017-07-01,1731550
2017-08-01,1894569
2017-09-01,1856214
2017-10-01,
2017-11-01,
2017-12-01,
2018-01-01,
2018-02-01,
2018-03-01,
2018-04-01,
2018-05-01,
2018-06-01,
2018-07-01,
2018-08-01,
2018-09-01,
