month,totals
1999-01-01,17909
1999-02-01,22311
1999-03-01,20740
1999-04-01,17439
1999-05-01,13777
1999-06-01,14373
1999-07-01,15838
1999-08-01,18205
1999-09-01,19990
1999-10-01,23993
1999-11-01,28229
1999-12-01,35408
2000-01-01,17459
2000-02-01,21621
2000-03-01,19364
2000-04-01,16387
2000-05-01,12913
2000-06-01,13879
2000-07-01,13354
2000-08-01,18049
2000-09-01,20108
2000-10-01,21371
2000-11-01,25539
2000-12-01,29852
2001-01-01,17820
2001-02-01,20955
2001-03-01,20312
2001-04-01,14259
2001-05-01,12909
2001-06-01,13848
2001-07-01,13077
2001-08-01,19612
2001-09-01,20022
2001-10-01,24942
2001-11-01,28614
2001-12-01,32626
2002-01-01,18641
2002-02-01,21575
2002-03-01,19630
2002-04-01,16031
2002-05-01,13687
2002-06-01,12525
2002-07-01,13240
2002-08-01,18976
2002-09-01,17645
2002-10-01,22037
2002-11-01,25714
2002-12-01,29722
2003-01-01,18608
2003-02-01,21067
2003-03-01,18342
2003-04-01,15413
2003-05-01,14032
2003-06-01,12708
2003-07-01,13348
2003-08-01,18267
2003-09-01,17307
2003-10-01,23222
2003-11-01,23773
2003-12-01,30782
2004-01-01,19968
2004-02-01,21118
2004-03-01,18647
2004-04-01,16778
2004-05-01,12385
2004-06-01,13113
2004-07-01,14663
2004-08-01,17314
2004-09-01,18802
2004-10-01,23503
2004-11-01,26223
2004-12-01,32460
2005-01-01,19100
2005-02-01,21806
2005-03-01,19902
2005-04-01,16961
2005-05-01,12669
2005-06-01,13457
2005-07-01,14152
2005-08-01,17018
2005-09-01,18361
2005-10-01,20809
2005-11-01,25200
2005-12-01,33154
2006-01-01,19922
2006-02-01,23169
2006-03-01,20689
2006-04-01,20703
2006-05-01,17563
2006-06-01,14936
2006-07-01,58454
2006-08-01,113059
2006-09-01,120706
2006-10-01,121114
2006-11-01,126127
2006-12-01,135157
2007-01-01,125604
2007-02-01,127538
2007-03-01,127759
2007-04-01,124816
2007-05-01,125970
2007-06-01,128745
2007-07-01,121163
2007-08-01,134729
2007-09-01,134456
2007-10-01,141264
2007-11-01,144176
2007-12-01,151630
2008-01-01,143573
2008-02-01,148628
2008-03-01,146516
2008-04-01,148367
2008-05-01,150272
2008-06-01,146583
2008-07-01,184555
2008-08-01,154192
2008-09-01,155795
2008-10-01,162086
2008-11-01,170669
2008-12-01,169865
2009-01-01,167035
2009-02-01,173104
2009-03-01,175314
2009-04-01,174987
2009-05-01,174703
2009-06-01,175957
2009-07-01,179312
2009-08-01,182433
2009-09-01,187031
2009-10-01,194580
2009-11-01,195656
2009-12-01,209466
2010-01-01,201899
2010-02-01,211077
2010-03-01,211068
2010-04-01,211261
2010-05-01,213810
2010-06-01,216147
2010-07-01,219640
2010-08-01,181135
2010-09-01,172165
2010-10-01,177281
2010-11-01,181908
2010-12-01,188188
2011-01-01,177464
2011-02-01,188375
2011-03-01,184546
2011-04-01,184195
2011-05-01,180713
2011-06-01,183978
2011-07-01,184356
2011-08-01,189671
2011-09-01,194180
2011-10-01,196026
2011-11-01,203683
2011-12-01,213645
2012-01-01,199339
2012-02-01,215496
2012-03-01,211057
2012-04-01,204963
2012-05-01,204954
2012-06-01,209443
2012-07-01,209830
2012-08-01,216276
2012-09-01,216886
2012-10-01,220986
2012-11-01,219921
2012-12-01,260207
2013-01-01,238510
2013-02-01,247260
2013-03-01,243253
2013-04-01,39190
2013-05-01,25271
2013-06-01,29195
2013-07-01,29719
2013-08-01,27296
2013-09-01,54426
2013-10-01,204305
2013-11-01,208696
2013-12-01,231210
2014-01-01,258471
2014-02-01,259837
2014-03-01,280948
2014-04-01,274155
2014-05-01,230610
2014-06-01,214382
2014-07-01,248979
2014-08-01,232853
2014-09-01,80383
2014-10-01,31756
2014-11-01,84113
2014-12-01,295697
2015-01-01,320778
2015-02-01,198493
2015-03-01,281518
2015-04-01,253890
2015-05-01,271614
2015-06-01,242027
2015-07-01,220018
2015-08-01,286463
2015-09-01,262693
2015-10-01,276162
2015-11-01,295891
2015-12-01,308824
2016-01-01,302383
2016-02-01,266913
2016-03-01,321318
2016-04-01,306214
2016-05-01,321666
2016-06-01,360293
2016-07-01,363085
2016-08-01,29746
2016-09-01,298753
2016-10-01,378973
2016-11-01,330444
2016-12-01,397059
2017-01-01,345924
2017-02-01,313748
2017-03-01,397959
2017-04-01,392685
2017-05-01,391740
2017-06-01,392002
2017-07-01,390494
2017-08-01,394718
2017-09-01,398706
